Date,Station name & ID,Loco Id,Direction,Issue Type,Issue Sub category,Issue Count,Issues noted During Trial,Time,Analysis,Root Cause/Why2,Corrective Action,Issue Category,Action Taken
01-03-2026,Chandanpur (CDAE) (12015),39132,R,SR mode,Radio Communicaiton failure,1,Loco switched to LS & SR mode,"
LS - 05:16:36
SR - 5:17:04 AM","1) Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.
2) Due to no communication between 2 stations. S2S communication was paused and regained later. to avoid EB. station sent SR authority for 2sec","Radio 1 RX: 7.48 MB
Radio 2 RX: 8.31 MB",,,
01-03-2026,Dankuni (DKAE) (12007),39132,,SR mode,,,Loco switched to SR mode,5:40:40,,"Radio 1 RX: 22.67 MB
Radio 2 RX: 970.00 B",,,
01-03-2026,Belur (BEQ) (12003),39133,N,LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,10:15:24,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 1.81 MB
Radio 2 RX: 4.45 MB",,,
01-03-2026,Jaugram (JRAE) (12022),39133,N,LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,10:55:24,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 14.58 MB
Radio 2 RX: 330.25 KB",,,
01-03-2026,Masagram (MSAE) (12024),39133,,LS mode,,,Loco switched to LS mode,,NO issue observed,"Radio 1 RX: 27.73 MB
Radio 2 RX: 10.56 MB",,,
01-03-2026,Gangpur (GRP) (12027),39133,,SR mode,,,Loco switched to SR mode,,NO issue observed,"Radio 1 RX: 14.23 MB
Radio 2 RX: 10.14 MB",,,
02-03-2026,LC-31 (KQU-CDAE) (12014),30191,DN (R),LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,9:45:14,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 22.09 MB
Radio 2 RX: 23.89 MB",,,
02-03-2026,Baruipara (BRPA) (12011),30191,DN (R),SR mode,,,Loco switched to SR mode,0:37:26,,"Radio 1 RX: 6.01 MB
Radio 2 RX: 8.01 MB",,,
02-03-2026,LC-41 (CRAE-GRAE) (12019),30328,DN (R),LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,3:34:38,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 13.58 MB
Radio 2 RX: 13.68 MB",,,
02-03-2026,Cheragram (CRAE) (12018),30328,DN (R),LS mode,,,Loco switched to LS mode,,"According to station log, there is no LS issue logged for this loco.  Loco log also doesn't show any LS mode degradation for this loco at the mentioned station. ","Radio 1 RX: 9.04 MB
Radio 2 RX: 10.90 MB",,,
